English,Chinese,PoS,Category
actor,演員,nan,考試
art,美術,nan,考試
australia,澳洲,nan,考試
by boat,搭船,nan,考試
by bus,搭公車,nan,考試
by plane,搭飛機,nan,考試
by scooter,搭機車,nan,考試
by taxi,搭計程車,nan,考試
by train,搭火車,nan,考試
circle,圓圈；環狀物,nan,考試
coin,硬幣,nan,考試
corn,玉米,nan,考試
cow,母牛,nan,考試
dirty,骯髒的,nan,考試
clean,乾淨的,nan,考試
doctor,醫生,nan,考試
farm,農場,nan,考試
flower,花朵,nan,考試
fork,叉子,nan,考試
from,從….來（介系詞）,nan,考試
get up,起床,nan,考試
girl,女孩,nan,考試
boy,男孩,nan,考試
go home,回家,nan,考試
go jogginh,去慢跑,nan,考試
go to bed,上床睡覺,nan,考試
go to school,上學,nan,考試
have lunch,吃午餐,nan,考試
hot pot,火鍋,nan,考試
house,房子,nan,考試
india,印度,nan,考試
japan,日本,nan,考試
jar,罐,nan,考試
lion dance,舞獅,nan,考試
listen to music,聽音樂,nan,考試
load,大聲的,nan,考試
lucky money,紅包,nan,考試
mouse,老鼠,nan,考試
noise,聲響；噪音,nan,考試
nurse,護士,nan,考試
on foot,走路,nan,考試
play baseball,打棒球,nan,考試
play basketball,打籃球,nan,考試
play football,踢足球,nan,考試
pork,豬肉,nan,考試
purple,紫色的,nan,考試
rice cake,年糕,nan,考試
ride a bike,騎腳踏車,nan,考試
river,河流,nan,考試
sailor,水手,nan,考試
shirt,襯衫,nan,考試
short,矮的；短的,nan,考試
shout,喊叫,nan,考試
singapore,新加坡,nan,考試
singer,歌手,nan,考試
spain,西班牙,nan,考試
surf the internet,上網,nan,考試
taiwan,台灣,nan,考試
take a bath,洗澡,nan,考試
Thursday,星期四,nan,考試
toy,玩具,nan,考試
watch TV,看電視,nan,考試
